datetime,temp_pre,temp_real,GHI_real,GHI_pre,Wind_pre,Wind_real,WinDir_pre,WinDir_real,Real,Forecast
5/29/2020 11:00,33.34598541,33.9,475.9,495.1625977,2.775606871,1.868421,127.8960266,72,1009.658028,1226.946459
5/29/2020 12:00,35.59950256,37,494.3,470.8617554,3.755767107,3.4210525,163.0453339,190,1509.676788,1257.450755
5/29/2020 13:00,35.76768112,36,461.9,453.3781738,6.311239719,7.763158,184.5753479,160,1430.092471,1376.453254
5/29/2020 14:00,35.12287903,34.2,393.09998,384.2825623,6.298128128,6.5,171.0922089,166,1511.429058,1364.791208
5/29/2020 15:00,34.80046844,36,286.09998,287.793335,7.321275234,8.815789,180.5935516,170,1371.92877,1425.207825
5/29/2020 16:00,34.00470734,35,166,156.5351257,6.643829823,7.2894735,170.1376953,180,1299.570792,1424.428064
5/29/2020 17:00,32.82637787,33.6,46.399994,54.79666138,6.036839962,6.815789,167.5556946,187,1255.484991,1355.219999
5/29/2020 18:00,31.9689045,33,0,0.004699707,5.309524059,6.342105,173.3060303,190,1192.74548,1216.777068
5/29/2020 19:00,30.82435608,31,0,0.130935669,4.090694904,4.842105,182.0503693,190,1045.106737,1055.842453
5/29/2020 20:00,30.36748123,30.4,0,-0.49961853,2.94626379,3.2105262,190.5707397,194,915.279908,861.7712853
5/29/2020 21:00,30.47412491,31,0,-3.961990356,2.26376009,2.473684,205.8638306,210,924.1292651,1046.266314
5/29/2020 22:00,30.46596527,31,0,-3.762283325,2.014625549,2.473684,232.1064758,200,951.3508197,1034.553383
5/29/2020 23:00,29.99829292,30.2,0,-3.584945679,1.478179932,1.2631576,245.2948761,178,1087.190206,1037.857857
5/30/2020 0:00,29.52268219,30,0,-2.420974731,1.298280001,1.4210525,255.2540283,310,1192.723532,1059.566909
5/30/2020 1:00,29.34187698,30,0,-5.493667603,1.325313807,1.9999999,264.8532715,290,932.2163158,988.448246
5/30/2020 2:00,28.7436409,29.4,0,-2.061553955,0.905532598,0.9736841,266.0878906,353,756.8373633,984.4960035
5/30/2020 3:00,28.5003624,29,0,-5.933441162,0.864586353,0,269.3746948,0,762.802717,883.7766437
5/30/2020 4:00,27.70684433,28,0,-18.51577759,0.540242434,0,339.5795898,0,1029.572535,1061.727216
5/30/2020 5:00,28.35452652,28.5,5.799988,17.32217407,1.230234623,1.2631576,273.2727051,251,1197.641221,987.7969928
5/30/2020 6:00,29.75948715,30,65.2,42.47798157,1.803388,2.9473684,226.3412476,240,1166.08885,1176.065783
